keperluan,izin,kategori
sekaligus melakukan pembelajaran online dengan seksama.",IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
libur lebaran dan bertemu orangtua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat mata serta urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan mama,IB,Bertemu Keluarga
berobat mata,IB,Pergi ke Klinik
"exit clearance, meninggalkan asrama dan bertemu kembali dengan keluarga di rumah.",IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
"mengisolasi diri didalam rumah untuk menghindari covid'19._x000d_
sekaligus melakukan pembelajaran online dengan seksama.",IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
libur lebaran dan bertemu orangtua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat mata serta urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan mama,IB,Bertemu Keluarga
berobat mata,IB,Pergi ke Klinik
"exit clearance, meninggalkan asrama dan bertemu kembali dengan keluarga di rumah.",IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
"mengisolasi diri didalam rumah untuk menghindari covid'19._x000d_
sekaligus melakukan pembelajaran online dengan seksama.",IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
libur lebaran dan bertemu orangtua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat mata serta urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan mama,IB,Bertemu Keluarga
berobat mata,IB,Pergi ke Klinik
"exit clearance, meninggalkan asrama dan bertemu kembali dengan keluarga di rumah.",IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
"mengisolasi diri didalam rumah untuk menghindari covid'19._x000d_
sekaligus melakukan pembelajaran online dengan seksama.",IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
libur lebaran dan bertemu orangtua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat mata serta urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan mama,IB,Bertemu Keluarga
berobat mata,IB,Pergi ke Klinik
"exit clearance, meninggalkan asrama dan bertemu kembali dengan keluarga di rumah.",IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
"mengisolasi diri didalam rumah untuk menghindari covid'19._x000d_
sekaligus melakukan pembelajaran online dengan seksama.",IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
libur lebaran dan bertemu orangtua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat mata serta urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan mama,IB,Bertemu Keluarga
berobat mata,IB,Pergi ke Klinik
"exit clearance, meninggalkan asrama dan bertemu kembali dengan keluarga di rumah.",IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
"mengisolasi diri didalam rumah untuk menghindari covid'19._x000d_
sekaligus melakukan pembelajaran online dengan seksama.",IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan orangtua,IB,Bertemu Keluarga
libur lebaran dan bertemu orangtua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat mata serta urusan keluarga,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
bertemu dengan mama,IB,Bertemu Keluarga
berobat mata,IB,Pergi ke Klinik
"exit clearance, meninggalkan asrama dan bertemu kembali dengan keluarga di rumah.",IB,Bertemu Keluarga
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ib perdana dan bertemu dengan orang tua.,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
liburan semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
pembelajaran jarak jauh dan pencegahan covid-19.,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal & tahun baru,IB,Bertemu Keluarga
menemani orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
merayakan hari paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
urusan keluarga,IB,Bertemu Keluarga
berobat,IB,Pergi ke Klinik
periksa kulit,IB,Lainnya
exit clearance,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingin bertemu dengan orang tua,IB,Bertemu Keluarga
libur natal dan tahun baru,IB,Bertemu Keluarga
libur semester dan bertemu dengan orang tua.,IB,Bertemu Keluarga
melakukan tugas proyek akhir ke pantai batu hoda,IB,Tugas Kuliah
untuk menghindari  terkena virus  corona,IB,Lainnya
bertemu dengan orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua dan berobat karena batuk,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
libur paskah dan bertemu dengan orang tua,IB,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua dan karena ingin menghadiri acara keluarga,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
exit clearance dan kembali saat wisuda,IB,Tamat Kuliah
ingi menemui orangtua dan keluarga.,IB,Bertemu Keluarga
libur natal dan tahun baru bersama keluarga,IB,Bertemu Keluarga
libur semester dan berkumpul dengan keluarga,IB,Bertemu Keluarga
ingin bertemu orangtua dan keluarga,IB,Bertemu Keluarga
"bertemu dengan orangtua , dan menghindari virus covid.",IB,Bertemu Keluarga
bertemu keluarga dan libur imlek,IB,Bertemu Keluarga
bertemu dengan orangtua dan keluarga.,IB,Bertemu Keluarga
bertemu keluarga dan orang tua,IB,Bertemu Keluarga
bertemu orang tua dan keluarga,IB,Bertemu Keluarga
bertemu orangtua dan keluarga,IB,Bertemu Keluarga
merayakan paskah dengan keluarga,IB,Bertemu Keluarga
berjumpa dengan orangtua dan keluarga,IB,Bertemu Keluarga
bertemu keluarga dan orang tua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
bertemu keluarga dan orang tua,IB,Bertemu Keluarga
bertemu dengan orang tua,IB,Bertemu Keluarga
bertemu orang tua dan keluarga,IB,Bertemu Keluarga
